duplicate_group_id,duplicate_group_size,record_id,organization_facility_name,organization_street_name,organization_city_name,organization_state,organization_zip_code,organization_mailing_address,organization_mailing_state,organization_mailing_zip_code,duplicate_reason,completeness_score,recommended_primary_record,review_needed
81,2,145,TEXAS HEALTH SEAY BEHAVIORAL HEALTH HOSPITAL,6110 W PARKER RD,PLANO,TX,75093,,,,Name,7.1,YES,YES
81,2,5015,TEXAS HEALTH SEAY BEHAVIORAL HEALTH CENTER PLANO,6110 West Parker Road,Plano,TX,75093,,,,Name,6.8,NO,YES
107,2,182,VETERANS AFFAIRS NORTH TEXAS HEALTH CARE SYSTEM,4500 S LANCASTER RD BLDG 2 STE 3C-400,DALLAS,TX,75216,,,,Name,8.2,YES,YES
107,2,2348,VETERANS AFFAIRS NORTH TEXAS HEALTH CARE SYSTEM DALLAS,4500 S LANCASTER RD,DALLAS,TX,75251,,,75216,Name,8,NO,YES
109,2,1669,INTEGRATED PSYCHOTHERAPEUTIC SERVICES OF AMERICA,2121 MAIN STREET SUITE 100,DALLAS,TX,75201,,,,Name,8,YES,YES
109,2,184,INTEGRATED PSYCHOTHERAPEUTIC SERVICES,2121 MAIN ST,DALLAS,TX,75201,,,,Name,7.8,NO,YES
110,4,1691,ORIGINS COUNSELING LLC,12870 HILLCREST RD STE H226,DALLAS,TX,75230,4001 MAPLE AVENUE SUITE 300,TX,75219,Physical Address,9.45,YES,YES
110,4,237,MATT SLOAN MD PLLC,12800 HILLCREST RD STE A123,DALLAS,TX,75230,,,,Physical Address,6.9,NO,YES
110,4,185,GERIATRIC PSYCHIATRY ASSOCIATES,12700 HILLCREST RD STE 260,DALLAS,TX,75230,,,,Physical Address,6.6,NO,YES
110,4,310,BEST SERVICE PAIN AND REHAB,12870 HILLCREST RD STE 200,DALLAS,TX,75230,,,,Physical Address,6.3,NO,YES
120,2,202,METHODIST CHARLTON MEDICAL CENTER,3534 N HAMPTON RD,DALLAS,TX,75212,,,,Name,6.3,YES,YES
120,2,273,METHODIST CHARLTON MEDICAL CENTER,3500 W WHEATLAND,DALLAS,TX,75237,,,,Name,5.75,NO,YES
123,3,3035,ASSOCIATIONS OF PERSONS AFFECTED BY ADDICTION,3116 MARTIN LUTHER KING JR BLVD,DALLAS,TX,75215,,,75215,Physical Address,10.65,YES,YES
123,3,205,VICTORIAN HEALTHCARE,2602 MARTIN LUTHER KING JR BLVD,DALLAS,TX,75215,,,,Physical Address,7.65,NO,YES
123,3,2347,STEP MED LLC,2929 MARTIN LUTHER KING JR BLVD,DALLAS,TX,75215,,,,Physical Address,6.2,NO,YES
124,5,3217,THE SALVATION ARMY ADDICTION RECOVERY PROGRAM,5302 HARRY HINES BLVD,DALLAS,TX,75235,,,75235,Physical Address,11.1,YES,YES
124,5,329,PARKLAND MEMORIAL HOSPITAL,5200 HARRY HINES BLVD,DALLAS,TX,75235,,,,Physical Address,8.35,NO,YES
124,5,328,UT SOUTHWESTERN MEDICAL CENTER PSYCHIATRY CLINIC,5323 HARRY HINES BLVD,DALLAS,TX,75390,,,,Physical Address,7.95,NO,YES
124,5,207,WILLIAM P CLEMENTS JR UNIVERSITY HOSPITAL,6201 HARRY HINES BLVD,DALLAS,TX,75235,,,,Physical Address,7.25,NO,YES
124,5,322,UT SOUTHWESTERN MEDICAL CENTER,6000 HARRY HINES BLVD,DALLAS,TX,75390,,,,Physical Address,6.55,NO,YES
130,2,1705,THE MEADOWS OUTPATIENT CENTER,17101 PRESTON RD STE 120,DALLAS,TX,75248,19820 N 7TH ST. #205,ARIZONA,85024,Physical Address,10.75,YES,YES
130,2,227,FLEISCHMANN RONALD S OFFICE,8411 PRESTON RD STE 712,DALLAS,TX,75225,,,,Physical Address,5.75,NO,YES
138,3,1150,ENTERHEALTH OUTPATIENT CENTER OF EXCELLENCE,8222 DOUGLAS AVENUE SUITE 375,DALLAS,TX,75225,,,,Physical Address,7.4,YES,YES
138,3,240,LESLIE H SECREST MD PA A,8222 DOUGLAS AVE STE 604,DALLAS,TX,75225,,,,Physical Address,6.9,NO,YES
138,3,317,SHANE TIPTON,8226 DOUGLAS AVE STE 805,DALLAS,TX,75225,,,,Physical Address,6.75,NO,YES
150,3,1415,UT SOUTHWESTERN MEDICAL CENTER PSYCHIATRY CLINIC,"1430 EMPIRE CENTRAL DR FL 1,",DALLAS,TX,75247,,,,Physical Address,7.9,YES,YES
150,3,312,UT SOUTHWESTERN MEDICAL CENTER PSYCHIATRY CLINIC,1430 EMPIRE CENTRAL DR,DALLAS,TX,75247,,,,Physical Address,7.85,NO,YES
150,3,256,UT SOUTHWESTERN AT EMPIRE PLAZA 1,1430 EMPIRE CENTRAL DR PLZ 1,DALLAS,TX,75247,,,,Physical Address,6.4,NO,YES
153,2,570,CARNIKA DONALD,1400 N COIT RD STE 302,MCKINNEY,TX,75071,,,,Physical Address,8.05,YES,YES
153,2,260,PROFERRED PSYCHIATRY OF TEXAS,1400 N COIT RD STE 302,MCKINNEY,TX,75071,,,,Physical Address,7.15,NO,YES
157,2,270,CHILDREN S MEDICAL CENTER,1935 MEDICAL DISTRICT DR,DALLAS,TX,75235,,,,Physical Address,8.3,YES,YES
157,2,5019,CHILDREN'S MEDICAL CENTER OF DALLAS,1935 Medical District Street,Dallas,TX,75235,,,,Physical Address,7.85,NO,YES
164,2,290,UNIFIED PAIN MANAGEMENT,12222 N CENTRAL EXPWY STE 150,DALLAS,TX,75243,,,,Physical Address,6.85,YES,YES
164,2,283,TEXAS PAIN RELIEF GROUP PLC,12222 N CENTRAL EXPY STE 150,DALLAS,TX,75243,,,,Physical Address,6.35,NO,YES
166,2,286,SANTA BARBARA COTTAGE HOSPITAL,3500 GASTON AVE,DALLAS,TX,75246,,,,Physical Address,6.25,YES,YES
166,2,2820,LAKEWOOD 2,5406 GASTON AVE,DALLAS,TX,75214,,,,Physical Address,6.15,NO,YES
179,2,309,EVEXIA PSYCHIATRY AND RECOVERY,18170 DALLAS PKWY STE 502,DALLAS,TX,75287,,,,Physical Address,6.8,YES,YES
179,2,307,JACOBSON HAROLD N OFFICE,17440 DALLAS PKWY STE 208,DALLAS,TX,75287,,,,Physical Address,6,NO,YES
181,3,3138,UT SOUTHWESTERN MEDICAL CENTER,8611 HILLCREST RD STE 210,DALLAS,TX,75225,,,,Name,7.05,YES,YES
181,3,319,UT SOUTHWESTERN MEDICAL CENTER,6363 FRST PARK RD,DALLAS,TX,75390,,,,Name,6.8,NO,YES
181,3,326,UT SOUTHWESTERN MEDICAL CENTER,5959 HARRY HINES BOUELVARD ELEVENTH FL HP 11122,DALLAS,TX,75235,,,,Name,6.25,NO,YES
189,2,343,SAM RAYBURN MEMORIAL VETERANS CENTER,1201 E 9TH ST,BONHAM,TX,75418,,,,Name,6.75,YES,YES
189,2,342,SAM RAYBURN MEMORIAL VETERANS CENTER,1201 E 9TH ST BLDG 2,BONHAM,TX,75418,,,,Name,6.25,NO,YES
206,2,366,RESOLUTE ADDICTION AND BEHAVIORAL HEALTH,400 W METHVIN,LONGVIEW,TX,75601,,,,Physical Address,6.5,YES,YES
206,2,364,DR FRANK STUART MURPHY,400 W METHVIN ST,LONGVIEW,TX,75601,,,,Physical Address,5.8,NO,YES
226,2,846,KARLA BOLTON MD,1609 S MARGARET AVE,KIRBYVILLE,TX,77351,,,,Physical Address,6.15,YES,YES
226,2,393,JOHN LAYTON SESSIONS DO,1609 S MARGARET ST,KIRBYVILLE,TX,75956,,,,Physical Address,5.7,NO,YES
230,2,4400,WAXAHACHIE REHAB CENTER,530 HIGHT ROAD,WAXAHACHIE,TX,75167,,,,Name + Physical Address,7.35,YES,YES
230,2,397,WAXAHACHIE REHAB CENTER,530 HIGHT RD,WAXAHACHIE,TX,75167,,,,Name + Physical Address,6.3,NO,YES
241,2,411,QUAZI IMAM MD,1833 W PIONEER PKWY,ARLINGTON,TX,76013,,,,Name,7.1,YES,YES
241,2,3699,"QUAZI M IMAM, MD CLINIC","1833 West Pioneer Parkway,",Arlington,TX,76013,,,,Name,6.15,NO,YES
245,2,478,JOHN PETER SMITH HOSPITAL,1500 S MAIN ST,FORT WORTH,TX,76104,,,,Physical Address,6.4,YES,YES
245,2,416,JOHN PETER SMITH HEALTH NETWORK FAMILY HEALTH CENTER,1500 S MAIN ST FL 4,FORT WORTH,TX,76014,,,,Physical Address,6.35,NO,YES
248,2,420,PITTMAN PSYCHIATRY AND RECOVERY PLLC,3602 MATLOCK RD STE 210,ARLINGTON,TX,76015,,,,Physical Address,6.2,YES,YES
248,2,468,,3602 MATLOCK ROAD SUITE 201,Arlington,TX,76063,,,,Physical Address,4.1,NO,YES
256,2,1716,LONGVIEW WELLNESS CENTER INC,1107 E MARSHALL AVE,LONGVIEW,TX,75601,1107 EAST MARSHALL AVE,TX,75601,Physical Address,9.9,YES,YES
256,2,431,GOOD SHEPHERD MEDICAL CENTER LONGVIEW,700 E MARSHALL AVE,LONGVIEW,TX,75601,,,,Physical Address,6.25,NO,YES
418,4,5048,HARRIS HEALTH SYSTEM BEN TAUB HOSPITAL,1504 Taub Loop,Houston,TX,77030,,,,Physical Address,6.5,YES,YES
418,4,696,NEUROPSYCHIATRIC CENTER (NPC)-HARRIS HEALTH BEN TAUB HOSPITAL,1502 TAUB LOOP,HOUSTON,TX,77030,,,,Physical Address,6.35,NO,YES
418,4,695,HARRIS HEALTH BEN TAUB HOSPITAL,1504 TAUB LOOP,HOUSTON,TX,77030,,,,Physical Address,6.05,NO,YES
418,4,706,BEN TAUB HOSPITAL,1504 TAUB LOOP,HOUSTON,TX,77030,,,,Physical Address,6.05,NO,YES
421,3,3194,SUN BEHAVIORAL HOUSTON LLC,7601 FANNIN STREET,HOUSTON,TX,77054,,,,Physical Address,7.1,YES,YES
421,3,5058,SUN BEHAVIORAL HOUSTON,7601 FANNIN STREET,HOUSTON,TX,77054,,,,Physical Address,7.05,NO,YES
421,3,707,CHILDRENS MEMORIAL HERMANN HOSPITAL,6411 FANNIN ST,HOUSTON,TX,77030,,,,Physical Address,6.15,NO,YES
426,2,719,GREATER HOUSTON PSYCHIATRIC ASSOCIATES,2901 WILCREST DR STE 520,HOUSTON,TX,77042,,,,Name,6.8,YES,YES
426,2,776,GREATER HOUSTON PSYCHIATRIC ASSOCIATES,4888 LOOP CENTRAL DR STE 510,HOUSTON,TX,77081,,,,Name,5.55,NO,YES
430,4,1914,WELLNESS COUNSELING CENTER OF TEXAS LLC,2616 S LOOP W STE 420,HOUSTON,TX,77054,2616 SOUTH LOOP WEST SUITE 420,TX,77054,Physical Address,11.4,YES,YES
430,4,724,UCHENNA KENNEDY OJIAKU MD,2626 S LOOP W STE 300,HOUSTON,TX,77054,,,,Physical Address,6.65,NO,YES
430,4,732,SIRTE MEDICAL PRIMARY CARE CLINIC,2646 S LOOP W STE 220,HOUSTON,TX,77054,,,,Physical Address,6.25,NO,YES
430,4,730,SIRTE MED PRIMARY CARE,2646 S LOOP W STE 220,HOUSTON,TX,77054,,,,Physical Address,6.1,NO,YES
431,2,733,UTHEALTH HOUSTON BEHAVIORAL AND BIOMEDICAL SCIENCES BUILDING,1941 E RD STE 2100,HOUSTON,TX,77054,,,,Physical Address,7.35,YES,YES
431,2,726,UT PHYSICIANS PSYCHIATRY OUTPATIENT CLINICBBSB,"1941 E RD, STE 2100",HOUSTON,TX,77054,,,,Physical Address,6.85,NO,YES
433,2,1912,SUN HOUSTON LLC,7505 FANNIN ST STE 430,HOUSTON,TX,77054,7505 FANNIN STREET SUITE 430,TX,77054,Physical Address,12.15,YES,YES
433,2,734,BLUE BONNET CLINIC,7505 FANNIN ST STE 211,HOUSTON,TX,77054,,,,Physical Address,6.75,NO,YES
447,2,1936,JAMES P RISHEL,16300 KUYKENDAHL RD STE 110,HOUSTON,TX,77068,"16300 KUYKENDAHL ROAD, SUITE 110",TX,77068,Physical Address,11.55,YES,YES
447,2,751,HOLIDAYS FAMILY CLINIC,16300 KUYKENDAHL RD STE 410,HOUSTON,TX,77068,,,,Physical Address,6.55,NO,YES
457,2,1943,THE HARRIS CENTER FOR MENTAL HEALTH AND IDD,9401 SW FWY STE 127,HOUSTON,TX,77074,9401 SOUTHWEST FREEWAY,TX,77074,Physical Address,12.9,YES,YES
457,2,763,CUFA BEHAVIORAL HEALTH SERVICES,9100 SW FWY STE 121,HOUSTON,TX,77074,,,,Physical Address,6.65,NO,YES
464,3,1944,PREVENTION AND RECOVERY CENTER INC,3043 GESSNER DR,HOUSTON,TX,77080,4281 KATELLA AVENUE #111,CA,90720,Physical Address,11.35,YES,YES
464,3,1945,PREVENTION AND RECOVERY CENTER INC,3033 GESSNER DR,HOUSTON,TX,77080,4281 KATELLA AVENUE #111,CA,90720,Physical Address,8.5,NO,YES
464,3,772,JENNY HAGGARD,3034 GESSNER RD,HOUSTON,TX,77080,,,,Physical Address,5.65,NO,YES
465,3,5054,BEHAVIORAL HOSPITAL OF BELLAIRE,5314 Dashwood Dr,Houston,TX,77081, , , ,Physical Address,6.7,YES,YES
465,3,1028,BEHAVIORAL HOSPITAL OF BELLAIRE,5314 DASHWOOD DR,HOUSTON,TX,77081,,,,Physical Address,5.95,NO,YES
465,3,774,BEHAVIORAL HEALTH CENTER,5314 DASHWOOD DR,HOUSTON,TX,77081,,,,Physical Address,5.65,NO,YES
466,2,2389,TOXICOLOGY ASSOCIATES INC,6910 BELLAIRE BLVD STE 13,HOUSTON,TX,77074,,,77074,Physical Address,7.7,YES,YES
466,2,775,BELLAIRE CARE CLINIC,6006 BELLAIRE BLVD STE 230,HOUSTON,TX,77081,,,,Physical Address,5.55,NO,YES
472,2,783,HARRIS HEALTH ACRES HOME HEALTH CENTER,818 RINGOLD ST,HOUSTON,TX,77088,,,,Name + Physical Address,8.6,YES,YES
472,2,784,HARRIS HEALTH ACRES HOME HEALTH CENTER,818 RINGOLD,HOUSTON,TX,77088,,,,Name + Physical Address,6.65,NO,YES
478,3,790,PSYCH MATTERS,17070 RED OAK DR STE 209,HOUSTON,TX,77090,,,,Physical Address,6.9,YES,YES
478,3,793,DR NNEKA EDOKPAYI MD,17070 RED OAK DR #409,HOUSTON,TX,77090,,,,Physical Address,6.15,NO,YES
478,3,792,ASHLEY NICOLE NP,17070 RED OAK DR STE 409,HOUSTON,TX,77090,,,,Physical Address,6.05,NO,YES
479,3,1934,AMPT UP FOR CHANGE LLC,3845 CYPRESS CRK PKWY STE 261,HOUSTON,TX,77068,14115 TORREY VILLAGE DRIVE,TX,77014,Physical Address,11.05,YES,YES
479,3,791,1960 PHYSICIANS ASSOCIATE,837 CYPRESS CRK PKWY STE 105,HOUSTON,TX,77090,,,,Physical Address,6.6,NO,YES
479,3,794,1960 FAMILY PRACTICE,847 CYPRESS CRK PKWY STE 100,HOUSTON,TX,77090,,,,Physical Address,6.05,NO,YES
486,2,1965,SERENITY LIGHT RECOVERY LLC,2990 RICHMOND AVE STE 300,HOUSTON,TX,77098,1820 EAST COUNTY ROAD 36,TX,77515,Physical Address,13.5,YES,YES
486,2,803,WHEATLEY MARSHA KAYE MD,2990 RICHMOND AVE STE 660,HOUSTON,TX,77098,,,,Physical Address,6.1,NO,YES
487,2,804,BAYLOR FAMILY MEDICINE,3701 KIRBY DR STE 600,HOUSTON,TX,77098,,,,Physical Address,8.1,YES,YES
487,2,805,SCOTT ELLIS SPRABERY MD,3701 KIRBY DR STE 570,HOUSTON,TX,77098,,,,Physical Address,6.3,NO,YES
508,2,840,TRANQUILITY BEHAVIORAL HEALTH CLINIC,201 KINGWOOD MEDICAL DR STE A500,KINGWOOD,TX,77339,,,,Physical Address,7.1,YES,YES
508,2,835,CHA BEHAVIORAL HEALTHCARE,201 KINGWOOD MEDICAL DR A450,KINGWOOD,TX,77339,,,,Physical Address,6.65,NO,YES
541,2,1980,SPRINTZ CENTER FOR RECOVERY PLLC,111 VISION PARK BLVD #100,SHENANDOAH,TX,77384,111 VISION PARK BOULEVARD #100,TX,77384,Physical Address,11.2,YES,YES
541,2,878,PROCURA PAIN SPINE,111 VISION PARK BLVD STE 100,SHENANDOAH,TX,77384,,,,Physical Address,7.6,NO,YES
542,2,1979,FIRST CITY RECOVERY HOUSTON LLC,1006 WINDSOR LKS BLVD STE #200,CONROE,TX,77384,317 WEST JEFFERSON ST.,IN,46901,Physical Address,12.1,YES,YES
542,2,879,THE WOODLANDS PAIN INSTITUTE,1006 WINDSOR LKS BLVD #200,CONROE,TX,77384,,,,Physical Address,7.05,NO,YES
545,2,886,THOMAS SYNEK MD,28533 SPG TRL RDG #125,SPRING,TX,77386,,,,Physical Address,6.2,YES,YES
545,2,883,TERESA TRAN MACLEOD NP,28533 SPG TRL RDG STE 125,SPRING,TX,77386,,,,Physical Address,6.1,NO,YES
556,3,908,GENERATION BEHAVIORAL HEALTH,5909 W LOOP S STE 670,BELLAIRE,TX,77401,,,,Physical Address,8.05,YES,YES
556,3,905,HAUSER CLINIC ASSOCIATES,5959 W LOOP S STE 600,BELLAIRE,TX,77401,,,,Physical Address,7.6,NO,YES
556,3,906,DR LONG NGUYEN MD,5959 W LOOP S STE 610,BELLAIRE,TX,77401,,,,Physical Address,6.05,NO,YES
570,2,926,KATY WELLNESS CENTER FAMILY PHYSICIANS,21406 PROVINCIAL BLVD,KATY,TX,77450,,,,Physical Address,7.6,YES,YES
570,2,927,DR VIKRAM MEHRA MD,21613 PROVINCIAL BLVD,KATY,TX,77450,,,,Physical Address,6.2,NO,YES
590,2,950,DR. RAMASWAMY LAKSHMANA'S OFFICE,"3560 DELAWARE ST, STE1103",BEAUMONT,TX,77706,,,,Physical Address,6.9,YES,YES
590,2,1065,BEAUMONT PSYCHIATRIC CLINIC,3560 DELAWARE ST STE 207,BEAUMONT,TX,77706,,,,Physical Address,5.6,NO,YES
594,2,5057,OCEANS BEHAVIORAL HOSPITAL OF KATY,455 PARK GROVE DR,KATY,TX,77450,,,,Physical Address,9.05,YES,YES
594,2,954,DR BENJAMIN WOWO MD,424 PARK GROVE DR,KATY,TX,77450,,,,Physical Address,6.2,NO,YES
604,2,966,INTERVENTIONAL PAIN SPECIALISTS PLLC,5010 CRENSHAW RD STE #130,PASADENA,TX,77505,,,,Physical Address,6.25,YES,YES
604,2,971,PREMIER HEALTH CARE GROUP,5050 CRENSHAW RD STE 100,PASADENA,TX,77505,,,,Physical Address,6.05,NO,YES
617,2,989,BRAZORIA COUNTY PAIN CENTER,1980 E MULBERRY ST,ANGLETON,TX,77515,,,,Physical Address,8.05,YES,YES
